episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
138, -800.0343603164656, 4, 14.553082210000866, 753, 159710,                                             159710, 0.0, 12669.4755859375
139, 4341.6977115646005, 1, 14.354014997999911, 709, 160419,                                             160419, 0.0, 11244.6025390625
140, -220.56528434547363, 4, 13.930733970000801, 671, 161090,                                             161090, 0.0, 13156.220703125
141, -333.512930131692, 4, 13.755007002000639, 671, 161761,                                             161761, 0.0, 13255.7109375
142, 116.03990626661107, 4, 14.73507508199873, 714, 162475,                                             162475, 0.0, 12635.404296875
143, 145.1433720154455, 4, 14.351592544000596, 693, 163168,                                             163168, 0.0, 11381.9267578125
144, 3887.8574991226196, 1, 5.314837764999538, 238, 163406,                                             163406, 0.0, 11755.580078125
145, 3723.6264110803604, 1, 2.9090884319994075, 126, 163532,                                             163532, 0.0, 13102.4150390625
146, -435.1606688629836, 4, 14.348804833000031, 706, 164238,                                             164238, 0.0, 13984.8154296875
147, 3499.253388880752, 1, 0.9019782520008448, 30, 164268,                                             164268, 0.0, 12750.5634765625
148, -735.5837763128802, 4, 14.145125629000177, 716, 164984,                                             164984, 0.0, 11627.5380859375
149, 1039.196196347475, 4, 14.737398403000043, 757, 165741,                                             165741, 0.0, 11298.896484375
150, 4231.294280171394, 1, 7.5289436360017135, 392, 166133,                                             166133, 0.0, 12912.541015625
151, -3745.259913261514, 3, 7.9199660289996245, 398, 166531,                                             166531, 0.0, 12152.4306640625
152, -12.694361871108413, 4, 12.932589189000282, 660, 167191,                                             167191, 0.0, 15408.9150390625
153, -242.1385580576025, 4, 13.354075355000532, 694, 167885,                                             167885, 0.0, 11530.1328125
154, -4791.305153851339, 2, 11.944239745000232, 625, 168510,                                             168510, 0.0, 13386.396484375
155, 411.14945769973565, 4, 13.547219175999999, 708, 169218,                                             169218, 0.0, 12649.49609375
156, 891.2398355603218, 4, 13.73637306800083, 707, 169925,                                             169925, 0.0, 13112.5927734375
157, -2950.2699582280475, 4, 12.745997414000158, 662, 170587,                                             170587, 0.0, 13922.7431640625
158, 187.20473079266958, 4, 13.541498037000565, 695, 171282,                                             171282, 0.0, 12243.8486328125
159, -30.848162642214447, 4, 13.550167453999165, 696, 171978,                                             171978, 0.0, 13293.2919921875
160, 249.85766150429845, 4, 12.734614950000832, 651, 172629,                                             172629, 0.0, 13229.0849609375
161, -122.784667506814, 4, 11.74576931500087, 594, 173223,                                             173223, 0.0, 13721.0576171875
162, 219.64154737378703, 4, 12.73036436500115, 647, 173870,                                             173870, 0.0, 12078.9013671875
163, 77.89583804935683, 4, 11.753975318000812, 604, 174474,                                             174474, 0.0, 12982.1650390625
164, -560.9291865660343, 4, 12.730446089999532, 659, 175133,                                             175133, 0.0, 12684.685546875
165, 675.706059217453, 4, 12.343686214000627, 630, 175763,                                             175763, 0.0, 12615.291015625
166, 925.7977665662766, 4, 12.732629390000511, 653, 176416,                                             176416, 0.0, 13824.21484375
167, 404.05195551761426, 4, 12.339820024999426, 629, 177045,                                             177045, 0.0, 12380.9228515625
168, -419.9962123259902, 4, 12.545299035000426, 653, 177698,                                             177698, 0.0, 13620.6083984375
169, -460.55102122668177, 4, 11.728181036000024, 591, 178289,                                             178289, 0.0, 12494.232421875
170, 64.51100852712989, 4, 11.339349731999391, 583, 178872,                                             178872, 0.0, 11738.4287109375
171, 33.819070528494194, 4, 11.727645422999558, 587, 179459,                                             179459, 0.0, 11738.1220703125
172, 489.29883908992633, 4, 11.348036529998353, 587, 180046,                                             180046, 0.0, 9318.7763671875
173, -177.42897166591138, 4, 11.545392993999485, 591, 180637,                                             180637, 0.0, 10085.06640625
174, 954.0136634111404, 4, 11.540950067999802, 591, 181228,                                             181228, 0.0, 10810.5771484375
175, 715.7512200176716, 4, 11.547685556000943, 596, 181824,                                             181824, 0.0, 13260.1904296875
176, 813.2236322760582, 4, 11.541932424999686, 602, 182426,                                             182426, 0.0, 11512.48828125
177, 153.05765709772822, 4, 11.730608289000884, 606, 183032,                                             183032, 0.0, 10393.96484375
178, 3599.270760536194, 1, 0.9175645470004383, 44, 183076,                                             183076, 0.0, 9844.7587890625
